 ,Label,Angle,Length
169,RW-Q-AR_0602-03-07-19.JPG,-1.162,1282.264
170,RW-Q-CA0227-05-30-19.JPG,13.814,1248.098
171,RW-Q-CA_0910-11-28-18.JPG,18.778,1267.464
172,RW-R-AR0308-05-30-19.JPG,-0.357,1284.025
173,RW-R-AR1311-05-01-19.JPG,-0.192,1196.007
174,RW-R-AR2303-05-01-19.JPG,-5.851,1216.337
175,RW-R-AR2912-05-30-19.JPG,-0.396,1158.028
176,RW-R-AR_1115-03-14-19.JPG,10.864,1209.681
177,RW-R-AR_1603-03-14-19.JPG,13.795,1266.532
178,RW-R-CA_0902-10-31-18.JPG,4.086,1207.068
179,RW-R-CA_1207-11-07-18.JPG,3.046,1279.808
180,RW-R-CA_1402-11-07-18.JPG,12.322,1265.147
181,RW-S-AR0506-05-30-19.JPG,-3.997,1291.141
182,RW-S-AR0515-05-30-19.JPG,12.730,1234.342
183,RW-S-AR0818-05-01-19.JPG,-4.880,1222.432
184,RW-S-AR1208-05-15-19.JPG,8.653,1209.769
185,RW-S-AR1301-05-01-19.JPG,9.926,1218.236
186,RW-S-AR2315-05-15-19.JPG,-2.457,1213.115
187,RW-S-AR2615-05-30-19.JPG,2.310,1190.968
188,RW-S-CA0108-05-01-19.JPG,2.477,1203.124
189,RW-S-CA_0128-02-15-19.JPG,14.969,1192.463
190,RW-S-CA_0822-02-15-19.JPG,19.361,1212.576
191,RW-S-CA_1315-01-29-19.JPG,3.703,1238.586
192,RW-T-AR1006-05-30-19.JPG,7.287,1229.933
193,RW-T-AR1908-05-30-19.JPG,6.267,1209.226
194,RW-T-AR2206-05-30-19.JPG,9.211,1199.467
195,RW-T-AR2213-05-01-19.JPG,3.883,1210.780
196,RW-T-AR2706-05-15-19.JPG,2.598,1235.270
197,RW-T-AR_0617-03-14-19.JPG,175.083,1306.808
198,RW-T-AR_2202-05-01-19.JPG,4.205,1227.304
199,RW-T-AR_2704-03-14-19.JPG,5.776,1212.155
200,RW-T-CA_0912-01-29-19.JPG,9.704,1245.827
201,RW-T-CA_1118-01-29-19.JPG,9.954,1226.462
202,RW-T-CA_1213-11-07-18.JPG,19.272,1211.914
203,RW-T-CA_1215-11-28-18.JPG,7.341,1252.264
204,RW-U-AR0113-05-30-19.JPG,7.524,1283.046
205,RW-U-AR0809-05-30-19.JPG,4.217,1305.534
206,RW-U-AR0815-05-01-19.JPG,5.045,1250.846
207,RW-U-AR1012-05-15-19.JPG,0.645,1244.079
208,RW-U-AR2701-05-15-19.JPG,4.492,1225.765
209,RW-U-AR_1303-03-14-19.JPG,13.366,1202.574
210,RW-U-CA_0222-02-15-19.JPG,10.726,1192.840
211,RW-U-CA_0412-02-15-19.JPG,12.257,1187.057
212,RW-U-CA_0906-11-07-18.JPG,3.180,1225.887
213,RW-U-CA_1103-10-31-18.JPG,16.939,1283.690
214,RW-V-AR0315-05-01-19.JPG,10.943,1285.372
215,RW-V-AR0507-05-30-19.JPG,5.228,1251.204
216,RW-V-AR0603-05-15-19.JPG,5.739,1220.115
217,RW-V-AR0816-05-30-19.JPG,-0.825,1250.130
218,RW-V-AR1112-05-30-19.JPG,1.790,1216.594
219,RW-V-AR2215-05-30-19.JPG,-3.175,1227.884
220,RW-V-AR2509-05-15-19.JPG,13.186,1209.901
221,RW-V-AR_0311-03-14-19.JPG,14.528,1243.768
222,RW-V-CA_1302-10-31-18..JPG,13.054,1301.637
223,RW-V-CA_1417-02-15-19.JPG,-11.346,1260.635
224,RW-W-AR0109-05-30-19.JPG,6.789,1268.897
225,RW-W-AR0306-05-01-19.JPG,7.785,1269.704
226,RW-W-AR0904-05-30-19.JPG,13.503,1250.568
227,RW-W-AR1019-05-15-19.JPG,11.310,1264.557
228,RW-W-AR1405-05-15-19.JPG,5.295,1235.272
229,RW-W-AR1406-05-01-19.JPG,0.738,1242.103
230,RW-W-AR1508-05-30-19.JPG,5.945,1216.543
231,RW-W-AR2909-05-01-19.JPG,12.944,1196.403
232,RW-W-AR_1002-03-14-19.JPG,176.334,1282.624
233,RW-W-AR_2614-03-14-19.JPG,9.904,1279.062
234,RW-W-CA0230-05-30-19.JPG,10.529,1236.823
235,RW-W-CA_0529-02-15-19.JPG,4.483,1253.836
236,RW-W-CA_1005-10-31-18.JPG,11.206,1296.722
237,RW-W-CA_1314-11-28-18.JPG,17.293,1237.961
238,RW-X-AR0604-05-30-19.JPG,-3.366,1294.233
239,RW-X-AR1205-05-30-19.JPG,1.710,1206.537
240,RW-X-AR1401-05-15-19.JPG,8.760,1234.400
241,RW-X-AR1503-05-01-19.JPG,-1.466,1172.384
242,RW-X-AR2302-05-01-19.JPG,3.212,1177.851
